"Extension","Category","Format","Developer","Mime Type","Programming Language"
".act","Developer Files","Text","Invisionsoft","application/pkix-attr-cert","Not Found"
".ads","Developer Files","Not Available","Not Available","mime-type/not.available","Ada"
".all","Settings Files","Text","Oracle","mime-type/not.available","Not Found"
".ani","System Files","Binary","Microsoft","application/x-navi-animation","Not Found"
".apf","Misc Files","Binary","Adobe","mime-type/not.available","Not Found"
".ar","Game Files","Zip","Microsoft","mime-type/not.available","Not Found"
".arc","Data Files","Binary","Nintendo","application/octet-stream","Arc"
".br","Web Files","Not Available","Not Available","mime-type/not.available","Not Found"
".browser","Web Files","Text","Microsoft","mime-type/not.available","Not Found"
".ccs","Developer Files","Text","Not Available","mime-type/not.available","Not Found"
".cl","Misc Files","Binary","Aha-Soft","mime-type/not.available","OpenCL"
".cls","Misc Files","Text","Not Available","mime-type/not.available","Visual Basic"
".dbm","3D Image Files","XML","DAZ Productions","mime-type/not.available","Not Found"
".dct","Data Files","Text","Autodesk","mime-type/not.available","Not Found"
".dmb","Video Files","Not Available","Not Available","mime-type/not.available","Not Found"
".dxf","Common File Types","Text","Autodesk","image/vnd.dxf","Not Found"
".env","Data Files","Not Available","Not Available","application/x-envoy","Not Found"
".esp","Game Files","Binary","Bethesda Softworks","application/ecmascript","Not Found"
".ex","Developer Files","Text","openEuphoria Group","mime-type/not.available","Elixir"
".exc","Encoded Files","Not Available","Acer","mime-type/not.available","Not Found"
".ext","Plugin Files","Not Available","Symantec","application/vnd.novadigm.ext","Not Found"
".fmt","Settings Files","Not Available","Microsoft","application/vnd.framemaker","Not Found"
".gpg","Misc Files","Binary","Free Software Foundation","mime-type/not.available","Not Found"
